area,date,description,price,size
 (BUSHWICK),1/24/2020 11:40,* BUSHWICK * NEW 2BR 1.5BA DPLX MASSIVE * SHARED YARD * LAUNDRY *NOFEE,"$2,995 ","2br -
                    1350ft"
 (Prospect Park/Lefferts Gardens),1/24/2020 11:37,!^INSANELY HUGE^!*RENOVATED 1 BED*AMAZING LOCATION!SUNNY!*DISHWASHER!!,"$1,650 ",1br -
 (Prospect Park/Lefferts Gardens),1/24/2020 11:34,!^SMOKING HOT^!*HUGE 3 BED 2 BATH*DISHWASHER*SUNNY!*LOCATION!*WOW!!!!!,"$2,495 ",3br -
 (Crown Heights/Eastern Parkway),1/24/2020 11:34,!^INSANELY HUGE^!*RENOVATED 1 BED*AMAZING LOCATION!SUNNY!*EASTERN PKWY,"$1,650 ",1br -
 (Park Slope),1/24/2020 11:32,1 BEDROOM APARTMENT IN PARK SLOPE GREENWOOD AREA sunset gowanus,"$1,740 ",1br -
 (BED STUY),1/24/2020 11:28,* Bed stuy * Reno 4Br High end * A c J Trains * Balcony * No fee,"$2,745 ","4br -
                    1000ft"
" (Gravesend, Brooklyn)",1/24/2020 11:27,1 Bedroom Rental in Elevator Building! NO SECURITY DEPOSIT!,"$1,799 ","1br -
                    675ft"
 (Crown Heights /Weeksvile),1/24/2020 11:25,Wont Last * Large Reno 2Br apt RailRoad * By the ac trains * No fee,"$2,040 ","2br -
                    800ft"
 (Bedford-Stuyvesant),1/24/2020 11:22,2400 SQFT Triplex apartment with 2 Private rooftops,"$9,800 ","4br -
                    2500ft"
" (Gravesend, Brooklyn)",1/24/2020 11:19,No Security Deposit! Renovated 2 Bedroom Rental in Elevator Building!,"$2,099 ","2br -
                    850ft"
 (CyPRESS HiLLS BROOKlYN),1/24/2020 11:19,SE RENTA: 2CUARTOS <~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,"$1,600 ",2br -
,1/24/2020 11:16,"^HOT DEAL^ LARGE 1 BED CLOSE TO PROSPECT PARK, B, Q, S, 2 & 5 TRAINS!!","$1,725 ",1br -
" (Gravesend, Brooklyn)",1/24/2020 11:13,NO SECURITY DEPOSIT! Studio in Elevator Building! 718-266-3700,"$1,410 ",300ft
 (Crown Heights),1/24/2020 11:08,PRIVATE ROOF DECK King sized massive one bedroom & Extended Balcony.,"$2,725 ","1br -
                    680ft"
 (Park Slope),1/24/2020 10:56,3BR APT IN PARK SLOPE GREENWOOD HEIGHTS gowanus sunset area,"$2,300 ",3br -
 (Williamsburg),1/24/2020 10:53,Beautiful Williamsburg 1 Bed w/ Private Backyard,"$3,499 ",1br -
" (Gravesend, Brooklyn)",1/24/2020 10:49,"Gravesend, 2 Bed/1  Bath Immediate DSJ 718 266-3700","$2,050 ",2br -
 (Prospect Heights),1/24/2020 10:49,"Prospect Heights Luxury Apt--In Unit Laundry/ Gym, Roof, Elevator","$4,100 ",2br -
 (Clinton Hill),1/24/2020 10:48,Amenity Filled 2 Bed 2 Bath!! March 1 No Fee!!,"$4,000 ",2br -
 (Clinton Hill),1/24/2020 10:41,🚨 Luxury Studio in Prime Clinton Hill🚨 NO FEE!!!,"$2,549 ",
 (Downtown Brooklyn),1/24/2020 10:40,Downtown BK Luxury 2 Bed--Steps to Dumbo!,"$3,600 ",2br -
 (Sheepshead Bay),1/24/2020 10:35,"Sheepshead Bay , 2 Bed/1.5 Bath OPEN HOUSE 1/23 Realty 718 266-3700","$2,199 ","2br -
                    950ft"
 (Brooklyn),1/24/2020 10:25,Apartment in Building near Coney Island Hospital 718-373-6000,"$1,495 ",
 (Bed Stuy),1/24/2020 10:24,"NO FEE ONE BEDROOM GEM! AC TRAINS, SHOWING TODAY!","$1,900 ",1br -
 (Bensonhurst),1/24/2020 10:21,OPEN HOUSE Rent Apartment in Bensonhurst 718-373-7700,"$1,795 ",1br -
 (Bedstuy),1/24/2020 10:06,Spacious 2 Bedroom * Great Size and Location* Showing Now !!!,"$1,800 ",2br -
 (Bed Stuy - Brooklyn (Near A and C Trains)),1/24/2020 10:05,✮ Beautiful 2 Bed Apt ✮ Balcony in Each Room ✮ Large Closets ✮ No Fee,"$2,599 ",2br -
" (Canarsie, Brooklyn)",1/24/2020 10:00,Beautiful 3 Bedroom Apartment,"$2,350 ",3br -
 (Bushwick/East Williamsburg),1/24/2020 9:49,$2500 / 2br - RENOVATED 2 BEDROOM RR TYPE APARTMENT-Jeff. St. L Train,"$2,500 ",2br -
 (East Flatbush - Brooklyn - Near 2 & 5 train),1/24/2020 9:46,✮ Beautiful New Building ✮ Huge Private Terrace ✮ 2 Bedrooms ✮ No Fee,"$2,578 ",2br -
 (Crown Heights),1/24/2020 9:45,Beautiful two story home looking for roommates,"$1,600 ","3br -
                    931ft"
 (Bed-Stuy @ Gates J Train),1/24/2020 9:37,HUGE NO FEE 4BR/1.5BA DUPLEX WITH BACKYARD IN BED-STUY!,"$3,499 ",4br -
 (Bed-Stuy @ Chauncey J Train),1/24/2020 9:36,Incredible No Fee Bed-Stuy 4 Bedroom Apartment,"$2,699 ",4br -
 (Bed-Stuy @ the Myrtle-Willoughby G),1/24/2020 9:36,SUNNY NO FEE 1 BEDROOM IN THE HEART OF BED-STUY,"$1,949 ",1br -
 (Bed-Stuy @ Utica Ave AC Trains),1/24/2020 9:35,Fantastic NO FEE Bed-Stuy 2 Bedroom Apartment 3 Blocks from the AC!,"$2,325 ",2br -
 (Bed Stuy - Brooklyn (Near G Train)),1/24/2020 9:33,✮ BED-STUY ✮ 3 HUGE BEDROOMS ✮ PRIVATE BACKYARD ✮ NO FEE,"$3,300 ",3br -
 (Clinton Hill),1/24/2020 9:07,576 Washington Avenue,"$3,000 ",1br -
 (Prospect lefferts garden),1/24/2020 8:56,NO FEE Duplex w/Priv Backyard,"$2,095 ",1br -
,1/24/2020 8:55,Spacious and conveniently located 2-bedroom in Landmarked section of BedStuy,"$2,600 ",
 (Bed-Stuy),1/24/2020 8:45,Banging 1-bedroom,"$1,900 ","1br -
                    800ft"
 (BEDFORD STUYVESANT - BUSHWICK),1/24/2020 8:39,AN AMAZING 2 BR APTS IN PRIME LOCATION!! WON'T LAST!!,"$2,000 ",2br -
 (Bushwick),1/24/2020 8:38,You've never seen a 3 bed like this.,"$2,900 ",3br -
 (Bay Ridge),1/24/2020 8:32,"Sunny 1 bedroom / Elevator Bldg, W/D, near ""R"" train","$1,500 ",1br -
 (Brooklyn Midwood),1/24/2020 8:18,Midwood 3 bedrooms 1 bath with backyard,"$2,300 ","3br -
                    1500ft"
 (Bed Stuy-Clinton Hill),1/24/2020 7:49,BRAND NEW Studio Apartment With City Views,"$2,700 ",
 (East New York),1/24/2020 7:39,"NEW LARGE ONE BED ..A,C,J TRAIN..RENOVATED..ELEVAToR..NEARALL..","$1,475 ",1br -
 (Prospect heights),1/24/2020 7:38,"NeW JUNIoR ONE BED.. S,C,2,3,4,5,B,Q TRAIN.. RENOVATED.. ELEVATOR..","$1,500 ",1br -
 (Sheepshead bay / gravesend),1/24/2020 7:32,"NeW HuGE ONE BeD..B,Q,F TRAIN..PRIME LOCALE..SUNNY..DINING ROOM..","$1,650 ",1br -
 (Bushwick),1/24/2020 7:25,"Large 2 bedrooms apartment - TRAINS - L,M","$2,495 ",2br -
 (PROSPECT LEFFERTS GARDENS),1/24/2020 7:16,NEWLY RENOVATED*UNDER MARKET*SPACIOUS,"$1,700 ",1br -
 (Clinton hill),1/24/2020 7:14,Large duplex with private back yard,"$3,435 ",4br -
 (PROSPECT LEFFERTS GARDENS),1/24/2020 7:13,NEWLY RENOVATED*CLOSE TO TRAIN*SPACIOUS,"$1,800 ",1br -
 (Kensington / prospect park south),1/24/2020 3:44,Gorgeous 4 bed 2 bath in a great area! Close to F G Q train,"$3,400 ",4br -
 (Williamsburg  GreenPoint),1/24/2020 3:44,"Beautiful and spacious 1 bedroom, Laundry, dishwasher, Roof Deck","$2,850 ",1br -
 (sheepshead bay),1/24/2020 3:43,"2 bed with parking. great location, next to B Q train on Sheepshead","$2,299 ",2br -
 (Bay Ridge/ Bayridge),1/24/2020 3:42,"Newly Renovated, Spacious, custom built closets, R train No broker fee","$1,950 ",1br -
 (Crown Heights),1/24/2020 3:41,"Beautiful 3 bed, washer dryer in unit, close to prospect park A C trai","$3,100 ",3br -
 (Williamsburg),1/24/2020 1:07,3/1 Prime Williamsburg large VERY sunny 1 bedroom apt (3 rooms!),"$2,400 ","1br -
                    750ft"
 (brooklyn),1/24/2020 1:01,owner's apt. backyard and front porch gas and heat included,"$2,200 ","2br -
                    1000ft"
 (Williamsburg),1/24/2020 0:49,2 bedroom✔ Marcy J/M✔ No fee✔ Feb or March 1✔,"$2,300 ",3br -
 (Clinton Hill),1/24/2020 0:42,"Finally all amenities under one roof, laundry in unit, elevator+lounge","$3,200 ",1br -
 (Bushwick),1/24/2020 0:38,BEAUTIFUL BUSHWICK DUPLEX,"$2,240 ","1br -
                    1000ft"
 (Clinton Hill Condos),1/24/2020 0:33,Laundry in-unit & DW✔ Sun✔ Elevator & roof✔& no fee Srsly??,"$2,650 ",
 (Clinton Hill),1/24/2020 0:24,This bldg ✔'s ever single box! Literally A-Z,"$4,100 ",2br -
 (Clinton Hill / Bed-Stuy - 1 block from the G train),1/24/2020 0:20,Clinton Hill two bedroom apartment! Pet-friendly + 1 block from G,"$2,795 ","2br -
                    800ft"
 (Clinton Hill / Bed-Stuy - 1 block from the G train),1/24/2020 0:03,900 Sq Ft Clinton Hill 1 bedroom loft with 15ft ceilings *amenities,"$2,650 ","2br -
                    900ft"
,1/23/2020 23:10,AMAZING 2 BEDROOM APARTMENT WITH LARGE LIVING/KITCHEN SPACE,"$2,399 ",2br -
 (Clinton Hill),1/23/2020 22:18,Brand New Luxury 1BR,"$3,200 ",1br -
 (Clinton Hill),1/23/2020 22:13,Brand New Luxury 2 bed / 2 bath - Minutes to the G - Laundry in Unit,"$4,100 ",2br -
 (Bed Stuy),1/23/2020 21:48,Under-Priced Lovely spacious 3BR/2BA In a Beautiful Townhouse!,"$2,599 ","3br -
                    1000ft"
 (Park slope),1/23/2020 21:25,Beautifully Gut renovated 1 bedroom Gem!Step to train station,"$2,795 ","1br -
                    750ft"
,1/23/2020 21:20,"Midwood :Pvt hse, 2 br, new kitchen & bath, near shop & subway","$2,000 ",1000ft
 (PROSPECT LEFFERTS GARDENS/FLATBUSH),1/23/2020 21:06,"no fee!! beautiful spacious 2 bedroom apartment, lots of natural light","$1,795 ",2br -
 (Williamsburg),1/23/2020 21:05,**NO FEE 2BR**March 1st**Balcony/Parking/Laundry**,"$4,295 ",2br -
 (Williamsburg),1/23/2020 20:56,**Heat/Hot Water Included**Cats Only**2BR**Feb 1st**NO FEE**,"$2,495 ",2br -
 (Williamsburg),1/23/2020 20:50,**Avaialble Now**NO FEE**Washer/Dryer**Fitness Center/Rooftop**,"$3,995 ",2br -
 (Cypress Hill),1/23/2020 20:44,2 Bedroom Apartment for Rent,"$1,650 ",2br -
 (Bushwick/ Jefferson L),1/23/2020 20:36,"New Reno! Sunny 3BR, hardwood flrs, gorgous kitchen, closets galore!!!","$2,899 ",3br -
 (Bedstuy @ Myrtle - Willoughby),1/23/2020 20:28,Gorgeous brand new 1BR - No Fee!,"$1,950 ",1br -
 (Prospect Lefferts Gardens),1/23/2020 20:26,"Large Studio in Lefferts Gardens/Crown Heights! Laundry! 2,5 trains","$1,650 ",
 (BEDSTUY/ BUSHWICK),1/23/2020 20:26,SUNNY RENT STABILIZED GEM!!!! WON'T LAST LONG J @ Kosciusko,"$2,436 ","1br -
                    600ft"
 (Fort Greene),1/23/2020 20:25,THIS IS A 2 BEDROOM DUPLEX IN THE HEART OF FORT GREENE,"$3,000 ",2br -
" (Bensonhurst, Brooklyn)",1/23/2020 20:23,Bensonhurst Renovated 1 Bedroom -- DSJ Realty 347 422-3099,"$1,695 ",1br -
 (Gravesend/Bensonhurst Brooklyn),1/23/2020 20:18,***Lovely/Cozy 1 Bedroom Apartment***,"$1,400 ","1br -
                    400ft"
 (Prospect Park South),1/23/2020 20:13,Large Renovated Studio near Prospect Park! B/Q trains!,"$1,595 ",
 (Bensonhurst),1/23/2020 20:03,Great 1 Bedroom Apartment,"$1,500 ",1br -
 (Crown Heights),1/23/2020 20:00,"Stunning 2BR Apt, with w/d in unit, in CROWN HEIGHTS - No Broker Fee","$3,099 ",2br -
 (Prospect Park South),1/23/2020 19:52,Beautiful LARGE 1 bedroom near Prospect Park! Laundry! B/Q trains!,"$1,795 ",1br -
" (Flatbush, Brookyn)",1/23/2020 19:35,NO Fee brand new Studio for rent ASAP in Flatbush,"$1,696 ",1br -
 (Ditmas Park @ B & Q subway),1/23/2020 19:18,Very nice spacious pre war 2 bedroom apartment,"$2,199 ",2br -
 (Brooklyn),1/23/2020 19:14,🔥 NO FEE🔥 PARK SLOPE🔥F/G/R TRAINS 🔥PRIME LOCATION,"$3,459 ",1br -
 (Bed-Stuy),1/23/2020 19:10,1 Bedroom With Backyard/Private Deck (March Rent Credit),"$2,125 ",1br -
 (East Flatbush - Brooklyn - Near 2 & 5 train),1/23/2020 19:00,✮ Amazing 3 Large Bedrooms ✮ Brand New Building ✮ Laundry ✮ No Fee,"$2,760 ",3br -
 (Ocean Hill),1/23/2020 18:52,Awesome 4 Bed in Great Location!Hardwood Floors!Natural Light!No Fee!*,"$2,500 ",4br -
 (East New York),1/23/2020 18:52,Awesome Renovated Studio / Loft for Rent | Laundry On Site | NO FEE!~,"$1,600 ",
 (Crown Heights),1/23/2020 18:51,Stunning 4 Bed 2 Bath!Triplex!Laundry!Private Yard!Private Parking!Gem,"$3,850 ",4br -
 (East New York),1/23/2020 18:50,Excellent 3 Bed 1.5 Bath!S.S Appl!Spacious!No Fee!Marble Bath!New Reno,"$2,400 ",3br -
 (East New York),1/23/2020 18:49,Excellent 3 Bed!S.S Appl!No Fee!New Reno!Very Bright!HW included!Gem*,"$2,299 ",3br -
 (Stuyvasant Heights @A & C subway),1/23/2020 18:42,Very nice 2 bedroom in a great area!,"$2,325 ",2br -
 (Brooklyn),1/23/2020 18:38,✮ Prime Williamsburg ✮ 3 Large Bedrooms ✮ Private Balcony ✮  Laundry,"$4,000 ",3br -
 (Canarsie),1/23/2020 18:31,Cozy Canarsie 3 Bed Apartment,"$2,200 ",3br -
 (Kensington),1/23/2020 18:30,Beautiful 4 bedroom in Kensington- 8 rooms!,"$3,399 ",4br -
 (Williamsburg),1/23/2020 18:24,NO FEE True 2BD/1Bth Williamsburg W/D in Unit Elevator Building w/Roof,"$4,299 ","2br -
                    800ft"
" (Bedstuy @Gates J,Z)",1/23/2020 18:15,"Really special 3 BR 1 Bath , Pre war building,","$2,265 ",3br -
 (East New York @ 3 Pennsylvania station),1/23/2020 18:10,"Nice spacious 3 bedroom, Great deal!","$2,199 ",3br -
 (Prospect Lefferts Gardens),1/23/2020 18:03,Gorgeous brand new development large 2 bed/1 bath bordering PLG!!!,"$2,200 ",2br -
" (Bushwick @ Gates J,Z)",1/23/2020 17:59,"Spacious Sun lit basic 3 bedroom , no fee.","$2,499 ",3br -
 (Bushwick),1/23/2020 17:43,Excellent 3 Bed 2 Bath in Prime Bushwick!S.S Appl!Spacious!No Fee!Gem*,"$2,799 ",3br -
,1/23/2020 17:43,"CROWN HEIGHTS🔥NO FEE BRAND NEW 2BR TERRACE APT,CHEF'S KITCHEN,A/C TRA","$2,887 ",2br -
 (Bushwick),1/23/2020 17:41,Awesome 1 Bed in Prime Bushwick!S.S Appl!No Fee!Private Backyard!A Gem,"$2,100 ",1br -
 (Prospect Park/Lefferts Gardens),1/23/2020 17:34,!^INSANELY HUGE^!*RENOVATED 1 BED*AMAZING LOCATION!SUNNY!*DISHWASHER!!,"$1,650 ",1br -
" (CROWN HEIGHTS @ KINGSTON AVE 2, 3, 4, 5 TRAINS)",1/23/2020 17:24,FURNISHED BACKYARD * BIKE STORAGE * GAME ROOM & LOUNGE * LAUNDRY *,"$2,500 ",2br -
,1/23/2020 17:16,Queer black individual in search of safe housing,$750 ,
 (Flatbush - Brooklyn (Near B & Q Trains)),1/24/2020 18:34,✮ Luxury Building ✮ 2 Spacious Bedrooms ✮ Private Balcony ✮ Amenities,"$2,930 ",2br -
 (Park Slope @ 7th ave & 15th st),1/24/2020 18:25,"Beautiful Park Slope 1Bed with Natural light, Large Space + More","$3,275 ",1br -
 (Bed-Stuy),1/24/2020 18:24,Bed-Stuy 2 Bed--Elevator Building-- No Fee February 1st!,"$2,650 ",2br -
 (Prospect Heights),1/24/2020 18:21,💎Massive One Bedroom💎No Fee💎H&HW Included💎Prospect Heights💎,"$2,600 ",1br -
 (Ditmas Park @ B & Q subway),1/24/2020 18:19,Very nice spacious pre war 2 bedroom apartment,"$2,199 ",2br -
 (Bushwick),1/24/2020 18:18,☀️Newly Renovated 3 Bedroom Duplex☀️Private Backyard☀️J/Z Train,"$3,666 ",3br -
 (Bushwick),1/24/2020 18:15,☀️Sunny & Spacious 1 Bedroom☀️Newly Renovated☀️J/Z Train☀️No Fee,"$2,200 ",1br -
 (Fort Greene),1/24/2020 18:10,INCREDIBLY LUXURIOUS CRISPLY SUNNY EXP BRK OFF THE PARK 1.5 Bedrooms,"$3,150 ","1br -
                    820ft"
 (Bushwick - Brooklyn (Near J & M Trains)),1/24/2020 18:06,✮ Amazing 2 Bed ✮ Large Living Space ✮ In Unit Laundry ✮ Exposed Brick,"$2,628 ",2br -
 (Greenwood Heights @ 23rd street & 3rd avenue),1/24/2020 18:06,MODERN APARTMENT NEAR WATERFRONT. AWESOME DEAL FOR ROOMMATES,"$3,000 ",2br -
 (Mill Basin),1/24/2020 18:05,"Very nice spacious 2 bedroom, Balcony! Private house!","$2,199 ",2br -
 (East New York @ 3 Pennsylvania station),1/24/2020 18:02,"Nice spacious 3 bedroom, Great deal!","$2,199 ",3br -
 (flatbush lefferts garden),1/24/2020 18:00,RENOVATED 3BDRMS - tenant pays electric ONLYlk to everything,"$2,500 ",3br -
 (Brighton Beach),1/24/2020 17:59,Gorgeous 2 bed apartment,"$2,095 ",2br -
 (Williamsburg),1/24/2020 17:57,Amazing No Fee 1 Bedroom 1 Bath & w/ Amazing Views Rooftop & Gym!,"$3,675 ","1br -
                    730ft"
 (CROWN HEIGHTS),1/24/2020 17:52,Renovated 2bdrm avail-walk to everything IN BUILDING,"$2,350 ",2br -
 (Bushwick @ Knickerbocker),1/24/2020 17:50,Newly renovated modern 3 bedroom in Bushwick- No Fee!,"$3,340 ",
 (Bedford- Stuyvesant @ Herkimer street & Albany Avenue),1/24/2020 17:45,MODERN APARTMENT IN A NEW DEVELOPMENT WITH CONDO FINISHES  ALL AMEN,"$2,740 ",1br -
 (BEDFORD STUYVESANT - BUSHWICK),1/24/2020 17:39,AN AMAZING 2 BR APTS IN PRIME LOCATION!! WON'T LAST!!,"$2,000 ",2br -
" (Bushwick @ Gates J,Z)",1/24/2020 17:39,"Spacious Sun lit basic 3 bedroom , no fee.","$2,499 ",3br -
 (Homecrest),1/24/2020 17:35,Charming Bright 2 BR Close To Everything!Great price!,"$1,750 ",2br -
 (Crown Heights),1/24/2020 17:34,EXTRA LARGE 3 Bedroom w/ Separate Dining Room in Crown Heights,"$2,400 ",3br -
 (Kensington / Ditmas Park / Prospect Park),1/24/2020 17:33,Large STUDIO in Doorman/Elevator/Laundry Bldg! 8th Floor w/ Open View!,"$1,700 ",
 (Ridgewood @ M train),1/24/2020 17:26,Modern building! Spacious Duplex 2 br 1.5 apartment!Lots of amenities,"$3,299 ",3br -
 (bushwick),1/24/2020 17:25,Studio apt in Bushwick W/D in unit,"$2,475 ",350ft
